chrom	size	intra	inter	intra_per_Mb	inter_per_Mb	ratio_inter_intra	species
scaffold_7	35708389	55654	431229	1558.5693	12076.4059	7.7484	Epalarica
scaffold_8	33126904	49510	416663	1494.5556	12577.7827	8.4157	Epalarica
scaffold_9	32806551	48902	433103	1490.6169	13201.723	8.8565	Epalarica
scaffold_1	52413556	44331	111389	845.7926	2125.1945	2.5127	Epharte
scaffold_10	26035223	10116	43451	388.5505	1668.9314	4.2953	Epharte
scaffold_11	25307695	15144	62055	598.3951	2452.021	4.0977	Epharte
scaffold_12	23822308	12613	49475	529.4617	2076.8349	3.9225	Epharte
scaffold_13	23073855	13302	47888	576.4966	2075.4226	3.6001	Epharte
scaffold_14	22279309	10980	48507	492.834	2177.2219	4.4178	Epharte
scaffold_15	22237770	10762	47932	483.9514	2155.432	4.4538	Epharte
scaffold_16	21954000	10924	47378	497.5859	2158.0578	4.3371	Epharte
scaffold_17	20886907	9692	43727	464.0227	2093.5125	4.5117	Epharte
scaffold_18	20007726	9515	43315	475.5663	2164.9137	4.5523	Epharte
scaffold_19	14232310	1394	41581	97.9462	2921.5918	29.8286	Epharte
scaffold_2	47123949	40854	85258	866.9477	1809.2287	2.0869	Epharte
scaffold_3	46896807	36582	82712	780.0531	1763.7022	2.261	Epharte
scaffold_4	44688408	43482	81826	973.004	1831.0341	1.8818	Epharte
scaffold_5	36961194	25935	75325	701.6819	2037.9482	2.9044	Epharte
scaffold_6	31789520	21804	55978	685.8864	1760.8948	2.5673	Epharte
scaffold_7	31301275	22678	64562	724.5072	2062.5997	2.8469	Epharte
scaffold_8	26795191	16639	65719	620.9696	2452.6416	3.9497	Epharte
scaffold_9	26542002	14308	58308	539.0701	2196.82	4.0752	Epharte
scaffold_1	47411227	46450	126265	979.7258	2663.1878	2.7183	Epronoe
scaffold_10	21469662	13061	78707	608.3468	3665.9636	6.0261	Epronoe
scaffold_11	21178924	13077	77676	617.4535	3667.6084	5.9399	Epronoe
scaffold_12	20755659	11126	66908	536.0466	3223.6028	6.0137	Epronoe
scaffold_13	20556365	12241	71516	595.4847	3479.0198	5.8423	Epronoe
scaffold_14	20506088	11526	65718	562.077	3204.8043	5.7017	Epronoe
scaffold_15	19245502	10704	65269	556.1819	3391.3898	6.0976	Epronoe
scaffold_16	18666816	10439	63228	559.2277	3387.1872	6.0569	Epronoe
scaffold_17	17704071	9776	64396	552.1894	3637.3555	6.5872	Epronoe
scaffold_18	17557418	9812	61288	558.8521	3490.7183	6.2462	Epronoe
scaffold_19	16965991	8337	56174	491.3948	3310.9766	6.7379	Epronoe
scaffold_20	15821784	8064	56634	509.677	3579.4952	7.0231	Epronoe
scaffold_3	36587827	29792	105404	814.2599	2880.8489	3.538	Epronoe
scaffold_5	33944381	30649	107313	902.9182	3161.4364	3.5014	Epronoe
scaffold_6	28829634	24674	86411	855.8555	2997.2978	3.5021	Epronoe
scaffold_7	28767020	16236	91417	564.3963	3177.8405	5.6305	Epronoe
scaffold_8	24637291	16740	75020	679.4578	3044.9776	4.4815	Epronoe
scaffold_9	22117330	14702	82236	664.7276	3718.1703	5.5935	Epronoe
scaffold_1	40408948	57485	839165	1422.581	20766.8114	14.598	Erondoui
scaffold_10	21931164	21528	593078	981.6168	27042.7051	27.5491	Erondoui
scaffold_11	21914109	21321	585145	972.9348	26701.7473	27.4445	Erondoui
scaffold_12	21364430	19900	583887	931.4548	27329.8656	29.3411	Erondoui
scaffold_13	21281151	20301	588930	953.9428	27673.7851	29.0099	Erondoui
scaffold_14	20590983	18336	548087	890.4869	26617.8162	29.8913	Erondoui
scaffold_15	19878230	17578	553342	884.284	27836.583	31.4792	Erondoui
scaffold_16	19390926	16836	536713	868.2412	27678.5647	31.8789	Erondoui
scaffold_17	19003848	15576	492366	819.6235	25908.7528	31.6106	Erondoui
scaffold_18	18890383	13041	476800	690.3513	25240.3564	36.5616	Erondoui
scaffold_19	18708681	13695	478343	732.0131	25567.9703	34.9283	Erondoui
scaffold_20	18700701	15576	512216	832.91	27390.2032	32.885	Erondoui
scaffold_21	16992249	12880	465353	757.9927	27386.1924	36.1299	Erondoui
scaffold_22	16958059	12720	470751	750.0858	27759.7218	37.0087	Erondoui
scaffold_23	16833884	12561	465028	746.1736	27624.5221	37.0216	Erondoui
scaffold_24	16317624	11781	444925	721.9801	27266.531	37.7663	Erondoui
scaffold_3	27588679	33670	716322	1220.4281	25964.3457	21.2748	Erondoui
scaffold_5	26870336	30627	695733	1139.8071	25892.233	22.7163	Erondoui
scaffold_6	24003460	25425	636365	1059.2223	26511.3863	25.0291	Erondoui
scaffold_7	23500299	24310	636636	1034.4549	27090.5489	26.1882	Erondoui
scaffold_8	23440371	24310	617936	1037.0996	26362.0401	25.419	Erondoui
scaffold_9	22160684	22578	625855	1018.8314	28241.6824	27.7197	Erondoui
scaffold_1	51990491	117414	544135	2258.3745	10466.0485	4.6343	Estirius
scaffold_10	20737970	19110	295926	921.4981	14269.767	15.4854	Estirius
scaffold_11	20516245	19306	290354	941.0104	14152.3948	15.0396	Estirius
scaffold_12	20291975	17391	266676	857.0383	13141.944	15.3341	Estirius
scaffold_13	20045803	18145	278421	905.177	13889.2416	15.3442	Estirius
scaffold_14	18781425	15753	267714	838.7542	14254.19	16.9945	Estirius
scaffold_15	18780182	16110	266827	857.8192	14207.9028	16.5628	Estirius
scaffold_16	18455658	15576	273471	843.9688	14817.7323	17.5572	Estirius
scaffold_17	18290715	14878	260450	813.4182	14239.4652	17.5057	Estirius
scaffold_18	17634725	14028	252475	795.476	14316.923	17.9979	Estirius
scaffold_19	17403029	13695	250630	786.932	14401.516	18.3008	Estirius
scaffold_2	36659306	57616	450736	1571.661	12295.2682	7.8231	Estirius
scaffold_20	17299396	13366	248731	772.6281	14378.0164	18.6092	Estirius
scaffold_3	35468131	54773	474141	1544.2877	13368.0853	8.6565	Estirius
scaffold_4	26699901	31878	350723	1193.937	13135.7416	11.002	Estirius
scaffold_5	22973296	23220	298958	1010.7387	13013.2829	12.875	Estirius
scaffold_6	22871853	21321	316812	932.1938	13851.6105	14.8592	Estirius
scaffold_7	22816537	23220	317321	1017.6829	13907.5005	13.6658	Estirius
scaffold_8	22439802	22366	320361	996.7111	14276.4629	14.3236	Estirius
scaffold_9	21068881	19701	286674	935.0758	13606.5128	14.5512	Estirius
scaffold_1	35396985	56279	998909	1589.9377	28220.1719	17.7492	Esudetica
scaffold_10	20456478	18336	617263	896.342	30174.4513	33.664	Esudetica
scaffold_11	20144352	18336	624251	910.2303	30988.8846	34.0451	Esudetica
scaffold_12	19376561	17020	596742	878.3808	30797.1058	35.0612	Esudetica
scaffold_13	18527202	15225	564892	821.7647	30489.8711	37.1029	Esudetica
scaffold_14	18184640	13861	544566	762.2367	29946.4823	39.2876	Esudetica
scaffold_15	17626228	13695	542717	776.9671	30790.3086	39.6288	Esudetica
scaffold_16	17608161	13695	531078	777.7644	30160.901	38.779	Esudetica
scaffold_17	17180277	13203	534402	768.4975	31105.552	40.4758	Esudetica
scaffold_18	16539069	12090	512171	730.9964	30967.3416	42.3632	Esudetica
scaffold_19	16427839	11935	516451	726.5107	31437.5494	43.272	Esudetica
scaffold_2	33670851	50403	915539	1496.9328	27190.8483	18.1644	Esudetica
scaffold_3	33226743	48823	900555	1469.3887	27103.3186	18.4453	Esudetica
scaffold_4	28400126	36315	808040	1278.6915	28451.9864	22.2509	Esudetica
scaffold_5	26950899	32640	776711	1211.0913	28819.4839	23.7963	Esudetica
scaffold_6	22049453	20706	655830	939.0709	29743.595	31.6734	Esudetica
scaffold_7	21653022	20706	650130	956.2637	30024.9083	31.3981	Esudetica
scaffold_8	20722186	19306	622776	931.6585	30053.586	32.2582	Esudetica
scaffold_9	20683909	18145	589861	877.252	28517.8686	32.5082	Esudetica
scaffold_1	43407408	77123	1004385	1776.7244	23138.562	13.0232	Etriaria
scaffold_10	28086938	36046	774720	1283.3724	27582.9284	21.4925	Etriaria
scaffold_11	27220022	33411	736750	1227.4421	27066.4733	22.0511	Etriaria
scaffold_12	24095629	26796	683017	1112.0689	28346.0955	25.4895	Etriaria
scaffold_13	21201177	18528	582186	873.9137	27460.0792	31.422	Etriaria
scaffold_14	20237924	18915	591056	934.6314	29205.3671	31.248	Etriaria
scaffold_15	20173468	18721	578035	928.0011	28653.2291	30.8763	Etriaria
scaffold_16	19824010	17955	578711	905.7199	29192.4288	32.2312	Etriaria
scaffold_3	38088995	67145	999754	1762.8451	26247.844	14.8895	Etriaria
scaffold_5	35537013	58311	938420	1640.8526	26406.8339	16.0934	Etriaria
scaffold_6	33992501	53297	905471	1567.9046	26637.3751	16.9892	Etriaria
scaffold_7	33970816	52326	866544	1540.3221	25508.4835	16.5605	Etriaria
scaffold_8	33388221	51681	894453	1547.8812	26789.4776	17.3072	Etriaria
scaffold_9	31178744	43956	848956	1409.8066	27228.6786	19.3138	Etriaria
scaffold_1	29989463	39871	128200	1329.5003	4274.8348	3.2154	X2575
scaffold_10	21483191	20100	108764	935.6152	5062.7488	5.4111	X2575
scaffold_11	19854737	17390	92999	875.8615	4683.9704	5.3478	X2575
scaffold_12	19369577	16652	101058	859.6987	5217.3571	6.0688	X2575
scaffold_13	20414053	18336	98362	898.2048	4818.3474	5.3644	X2575
scaffold_14	19759810	17205	96343	870.7068	4875.7048	5.5997	X2575
scaffold_15	19467203	16471	90477	846.0897	4647.663	5.4931	X2575
scaffold_16	19618528	17020	92330	867.5472	4706.2654	5.4248	X2575
scaffold_17	19008025	15931	100060	838.1197	5264.0924	6.2808	X2575
scaffold_18	18192571	14535	89132	798.9525	4899.3625	6.1322	X2575
scaffold_19	17808383	13859	87032	778.229	4887.1366	6.2798	X2575
scaffold_2	23972015	24972	116104	1041.7147	4843.3142	4.6494	X2575
scaffold_20	17768859	13695	85268	770.7304	4798.7324	6.2262	X2575
scaffold_21	17571008	13693	90996	779.2951	5178.7581	6.6454	X2575
scaffold_22	16245388	11628	84251	715.7724	5186.1488	7.2455	X2575
scaffold_23	16022350	10878	84757	678.9266	5289.9231	7.7916	X2575
scaffold_24	13398917	5252	45490	391.972	3395.0505	8.6615	X2575
scaffold_25	12878641	7140	68506	554.4063	5319.3501	9.5947	X2575
scaffold_26	10546484	4950	57649	469.3507	5466.1819	11.6463	X2575
scaffold_27	8719212	3003	43734	344.4119	5015.8202	14.5634	X2575
scaffold_28	9768352	4005	58772	409.9975	6016.5727	14.6747	X2575
scaffold_3	23645765	23870	102489	1009.4831	4334.3491	4.2936	X2575
scaffold_4	22775921	22787	116286	1000.4864	5105.6552	5.1032	X2575
scaffold_5	23330544	23436	110768	1004.5201	4747.7676	4.7264	X2575
scaffold_7	22593700	21943	121426	971.1999	5374.33	5.5337	X2575
scaffold_8	21606717	20100	95267	930.2663	4409.1381	4.7397	X2575
scaffold_9	22292546	21525	96050	965.5694	4308.6151	4.4623	X2575
scaffold_1	31240052	42161	134386	1349.5816	4301.7214	3.1874	X2576
scaffold_10	21733498	20099	98605	924.7936	4537.0055	4.906	X2576
scaffold_11	22119809	20301	114418	917.7747	5172.6486	5.6361	X2576
scaffold_12	21591836	18915	98951	876.0255	4582.7969	5.2314	X2576
scaffold_13	20464825	17578	95587	858.9372	4670.7949	5.4379	X2576
scaffold_14	20629981	18145	97597	879.5452	4730.8332	5.3787	X2576
scaffold_15	20211639	17578	102330	869.6969	5062.9244	5.8215	X2576
scaffold_16	20024659	17020	105135	849.9521	5250.2767	6.1771	X2576
scaffold_17	18916128	15753	93081	832.7814	4920.7216	5.9088	X2576
scaffold_18	18730151	14878	85235	794.3342	4550.6841	5.7289	X2576
scaffold_19	18429661	14196	95091	770.28	5159.6717	6.6984	X2576
scaffold_2	25047042	24531	105807	979.3971	4224.3312	4.3132	X2576
scaffold_20	18387209	14364	90253	781.1952	4908.4665	6.2833	X2576
scaffold_21	16861714	12090	90485	717.009	5366.2991	7.4843	X2576
scaffold_22	16842845	11935	87368	708.6095	5187.2472	7.3203	X2576
scaffold_23	20328026	17020	92817	837.2677	4565.9623	5.4534	X2576
scaffold_24	14695641	4656	44106	316.8286	3001.2981	9.4729	X2576
scaffold_25	13557508	7140	68170	526.6455	5028.2102	9.5476	X2576
scaffold_26	11450555	5253	63255	458.7551	5524.1864	12.0417	X2576
scaffold_27	10502295	4278	64667	407.3395	6157.4161	15.1162	X2576
scaffold_28	8955374	2775	46557	309.8698	5198.7779	16.7773	X2576
scaffold_3	24301944	25198	113675	1036.8718	4677.6093	4.5113	X2576
scaffold_4	24498023	25651	117160	1047.0641	4782.4267	4.5675	X2576
scaffold_5	23250913	23005	131806	989.4235	5668.8527	5.7295	X2576
scaffold_6	23498624	23867	125275	1015.6765	5331.1632	5.2489	X2576
scaffold_8	23220895	22154	96237	954.0545	4144.4139	4.344	X2576
scaffold_9	22739584	21945	99354	965.0572	4369.2092	4.5274	X2576
scaffold_10	21666481	18915	233653	873.0075	10784.077	12.3528	X3252
scaffold_11	20420699	18145	225601	888.5592	11047.663	12.4332	X3252
scaffold_12	20175565	17020	215648	843.5947	10688.573	12.6703	X3252
scaffold_13	20206566	17766	231635	879.2192	11463.3531	13.0381	X3252
scaffold_14	19968224	17020	228887	852.3542	11462.5617	13.4481	X3252
scaffold_15	19917339	17020	222001	854.5318	11146.1175	13.0435	X3252
scaffold_16	18613313	14706	212392	790.0797	11410.7575	14.4425	X3252
scaffold_17	18481954	10585	180452	572.7208	9763.6862	17.0479	X3252
scaffold_18	18638124	14706	213903	789.0279	11476.6379	14.5453	X3252
scaffold_19	18187076	14028	205195	771.317	11282.4623	14.6275	X3252
scaffold_2	23774035	21321	228112	896.8187	9595.0056	10.6989	X3252
scaffold_20	17926569	14028	213661	782.5256	11918.6778	15.231	X3252
scaffold_21	17879688	13695	201852	765.953	11289.4587	14.7391	X3252
scaffold_22	17691837	11935	192585	674.6049	10885.5287	16.1362	X3252
scaffold_23	17681055	3486	73165	197.1602	4138.0449	20.9882	X3252
scaffold_24	14184124	8256	165703	582.0592	11682.2865	20.0706	X3252
scaffold_25	13175205	7503	166697	569.4788	12652.3269	22.2174	X3252
scaffold_26	12639536	6786	140255	536.8868	11096.5308	20.6683	X3252
scaffold_27	11599131	4560	125897	393.1329	10854.0028	27.609	X3252
scaffold_28	10052879	3486	89061	346.7663	8859.2532	25.5482	X3252
scaffold_3	23911110	25200	262704	1053.9034	10986.692	10.4248	X3252
scaffold_4	23678771	24310	252919	1026.658	10681.2554	10.4039	X3252
scaffold_5	22448173	17955	221963	799.8424	9887.798	12.3622	X3252
scaffold_6	23114643	23220	253504	1004.558	10967.247	10.9175	X3252
scaffold_7	23202313	23005	268984	991.496	11592.9821	11.6924	X3252
scaffold_8	21889327	20910	244509	955.2601	11170.2384	11.6934	X3252
scaffold_9	21972728	21115	245446	960.964	11170.4837	11.6242	X3252
scaffold_10	34788775	39270	285463	1128.8124	8205.6065	7.2692	X3258
scaffold_11	33617605	50033	352846	1488.2976	10495.8696	7.0523	X3258
scaffold_2	55864847	120627	492563	2159.2648	8817.0473	4.0834	X3258
scaffold_3	53749905	122585	473524	2280.6552	8809.7644	3.8628	X3258
scaffold_4	51735000	115868	492212	2239.6443	9514.1007	4.248	X3258
scaffold_5	46123792	83418	431777	1808.5677	9361.2641	5.1761	X3258
scaffold_6	45576453	90382	421724	1983.0854	9253.1115	4.666	X3258
scaffold_7	44891785	84630	452459	1885.2002	10078.8819	5.3463	X3258
scaffold_8	38703603	65345	419466	1688.3441	10837.9057	6.4193	X3258
scaffold_9	35523135	55194	361306	1553.748	10171.0055	6.5461	X3258
scaffold_1	42336005	82477	488979	1948.1526	11549.9561	5.9287	X3311
scaffold_10	32486046	46656	380856	1436.1859	11723.6798	8.1631	X3311
scaffold_11	27562603	29142	333440	1057.3022	12097.5512	11.4419	X3311
scaffold_12	26435890	32640	388434	1234.6851	14693.4338	11.9006	X3311
scaffold_13	21679127	21945	300579	1012.264	13864.9033	13.6969	X3311
scaffold_14	15953076	11026	240796	691.152	15094.017	21.8389	X3311
scaffold_2	37279938	63517	451907	1703.785	12121.989	7.1147	X3311
scaffold_3	36752064	60968	430922	1658.9	11725.1102	7.068	X3311
scaffold_4	36413192	58970	442075	1619.468	12140.5176	7.4966	X3311
scaffold_6	34997696	56934	420569	1626.7928	12017.0482	7.387	X3311
scaffold_7	34691039	56247	422317	1621.3697	12173.6625	7.5083	X3311
scaffold_8	33403613	51023	436890	1527.4695	13079.1241	8.5626	X3311
scaffold_9	33028892	51038	398508	1545.2532	12065.4365	7.8081	X3311
scaffold_1	55597048	98580	71186	1773.1157	1280.3917	0.7221	X3506
scaffold_10	21340370	20477	42910	959.5429	2010.743	2.0955	X3506
scaffold_11	20655643	19088	40918	924.1058	1980.9599	2.1437	X3506
scaffold_12	20816206	18089	38564	868.9864	1852.595	2.1319	X3506
scaffold_13	19368781	15742	43489	812.7512	2245.3143	2.7626	X3506
scaffold_14	19724047	16647	39559	843.9951	2005.6229	2.3763	X3506
scaffold_15	19735242	16824	41858	852.4851	2120.9773	2.488	X3506
scaffold_16	19534356	16465	40961	842.874	2096.8697	2.4878	X3506
scaffold_17	18572207	13352	34370	718.9237	1850.6147	2.5741	X3506
scaffold_18	18914145	15930	40692	842.2268	2151.4057	2.5544	X3506
scaffold_19	18291368	14704	36732	803.8765	2008.1604	2.4981	X3506
scaffold_20	18259818	15046	40332	823.9951	2208.7843	2.6806	X3506
scaffold_21	18011509	14334	38032	795.8245	2111.5388	2.6533	X3506
scaffold_22	17894018	14028	37251	783.9491	2081.7572	2.6555	X3506
scaffold_23	17499984	13036	37649	744.915	2151.3734	2.8881	X3506
scaffold_3	27078367	33062	51123	1220.9747	1887.9647	1.5463	X3506
scaffold_4	23801230	23559	48388	989.8228	2033.0042	2.0539	X3506
scaffold_5	23562929	24073	40694	1021.6472	1727.0349	1.6904	X3506
scaffold_6	22931906	23325	48395	1017.1418	2110.3784	2.0748	X3506
scaffold_7	22202305	21506	47697	968.6382	2148.2905	2.2178	X3506
scaffold_8	21240467	20094	41874	946.0244	1971.4256	2.0839	X3506
scaffold_9	21435757	20084	43796	936.9392	2043.1282	2.1806	X3506
scaffold_1	72576046	160045	219554	2205.2042	3025.1579	1.3718	X3531
scaffold_10	34192860	50997	129147	1491.4517	3777.0166	2.5324	X3531
scaffold_3	60709208	119809	203401	1973.4898	3350.4143	1.6977	X3531
scaffold_4	58421957	115448	174721	1976.1063	2990.6735	1.5134	X3531
scaffold_5	55683060	111744	187503	2006.7863	3367.3257	1.678	X3531
scaffold_6	53756506	107606	181750	2001.7298	3380.9861	1.689	X3531
scaffold_7	46193233	76914	172716	1665.0491	3738.9892	2.2456	X3531
scaffold_8	36501054	57745	134380	1582.0091	3681.5375	2.3271	X3531
scaffold_9	35709248	41120	106008	1151.5224	2968.6427	2.578	X3531
scaffold_1	73472807	186038	339265	2532.066	4617.5587	1.8236	X3737
scaffold_10	34581850	53843	203095	1556.9728	5872.8784	3.772	X3737
scaffold_3	53868344	120320	275956	2233.5938	5122.786	2.2935	X3737
scaffold_4	53298135	120202	258217	2255.2759	4844.7661	2.1482	X3737
scaffold_5	50911320	113256	270736	2224.574	5317.7957	2.3905	X3737
scaffold_6	44972102	79714	262299	1772.5211	5832.4825	3.2905	X3737
scaffold_7	42855700	80782	259585	1884.9768	6057.1873	3.2134	X3737
scaffold_8	46598952	88296	236310	1894.8066	5071.1441	2.6763	X3737
scaffold_9	35367999	35746	159667	1010.6877	4514.4482	4.4667	X3737
