chrom	size	intra	inter	intra_per_Mb	inter_per_Mb	ratio_inter_intra	species
scaffold_22	15110505	10153	201466	671.9167	13332.8436	19.843	Eeriphyle
scaffold_23	12727710	6328	111548	497.1829	8764.1846	17.6277	Eeriphyle
scaffold_24	12671268	7140	184881	563.4795	14590.5682	25.8937	Eeriphyle
scaffold_25	11807194	6555	191764	555.17	16241.2848	29.2546	Eeriphyle
scaffold_26	10751925	5253	165786	488.5637	15419.1924	31.5603	Eeriphyle
scaffold_27	9191859	3828	147068	416.4555	15999.8103	38.419	Eeriphyle
scaffold_28	9177105	3321	109687	361.8788	11952.2442	33.0283	Eeriphyle
scaffold_3	21227227	20910	298457	985.0557	14060.1031	14.2734	Eeriphyle
scaffold_4	20836187	19900	271004	955.0692	13006.4104	13.6183	Eeriphyle
scaffold_5	20636382	19701	293521	954.6732	14223.4719	14.8988	Eeriphyle
scaffold_6	20317116	18915	260462	930.9884	12819.8313	13.7701	Eeriphyle
scaffold_7	20313186	19110	271011	940.7682	13341.6294	14.1816	Eeriphyle
scaffold_8	19573350	17578	272079	898.0578	13900.482	15.4784	Eeriphyle
scaffold_9	18882340	16653	260233	881.9352	13781.8194	15.6268	Eeriphyle
scaffold_1	43029883	84862	453627	1972.1643	10542.1388	5.3455	Eflavofasciata
scaffold_10	22912776	20300	242246	885.9686	10572.5295	11.9333	Eflavofasciata
scaffold_11	22019391	21945	262866	996.6216	11937.9323	11.9784	Eflavofasciata
scaffold_12	21852660	22155	286746	1013.8354	13121.7893	12.9427	Eflavofasciata
scaffold_13	21771711	21115	268581	969.8365	12336.2376	12.7199	Eflavofasciata
scaffold_14	21435412	20300	252352	947.031	11772.6685	12.4311	Eflavofasciata
scaffold_15	19548198	17578	239271	899.2133	12240.054	13.612	Eflavofasciata
scaffold_16	19354820	17205	245973	888.9259	12708.6173	14.2966	Eflavofasciata
scaffold_17	19282137	16653	251281	863.6491	13031.8024	15.0892	Eflavofasciata
scaffold_18	18614028	15576	227393	836.7883	12216.2167	14.5989	Eflavofasciata
scaffold_19	18149235	14878	224600	819.7591	12375.1772	15.0961	Eflavofasciata
scaffold_20	18101694	14706	227275	812.4102	12555.4548	15.4546	Eflavofasciata
scaffold_3	42493033	66592	349106	1567.1275	8215.6056	5.2425	Eflavofasciata
scaffold_5	35578783	57956	381191	1628.9484	10713.9977	6.5772	Eflavofasciata
scaffold_6	30971213	42776	333403	1381.1535	10764.9319	7.7942	Eflavofasciata
scaffold_7	23877205	24531	262777	1027.3816	11005.3501	10.712	Eflavofasciata
scaffold_8	23613216	24753	281120	1048.2689	11905.1975	11.357	Eflavofasciata
scaffold_9	23468549	25199	285458	1073.7349	12163.4277	11.3281	Eflavofasciata
scaffold_1	36679467	60848	744625	1658.9118	20300.8675	12.2375	Egorge
scaffold_10	19258961	16836	412883	874.1905	21438.4878	24.5238	Egorge
scaffold_11	18917448	15576	397742	823.3669	21025.1404	25.5356	Egorge
scaffold_12	17775117	14196	378828	798.6445	21312.2648	26.6855	Egorge
scaffold_13	17645256	14535	388275	823.7342	22004.498	26.7131	Egorge
scaffold_14	17528659	14196	384368	809.8737	21927.9752	27.0758	Egorge
scaffold_15	17234039	13695	388599	794.6483	22548.3417	28.3752	Egorge
scaffold_16	17111873	13203	366694	771.5695	21429.2147	27.7735	Egorge
scaffold_17	16806974	12880	360740	766.3485	21463.7091	28.0078	Egorge
scaffold_18	16495684	12561	357947	761.4719	21699.4336	28.4967	Egorge
scaffold_2	36211071	59682	708808	1648.17	19574.3451	11.8764	Egorge
scaffold_3	35948615	58236	718912	1619.979	19998.3226	12.3448	Egorge
scaffold_4	33913849	53947	669701	1590.7071	19747.1245	12.4141	Egorge
scaffold_5	33211283	51654	703334	1555.3148	21177.5619	13.6163	Egorge
