bin,gene_density
1,0.33940520512820516
2,0.3422745641025641
3,0.34750046153846154
4,0.3548642307692308
5,0.36263333333333336
6,0.3686044102564103
7,0.375528358974359
8,0.3831763076923077
9,0.39059979487179486
10,0.39703164102564104
11,0.40535115384615383
12,0.41292505128205126
13,0.42055230769230767
14,0.4227032307692308
15,0.42917684615384616
16,0.4337319230769231
17,0.43338502564102566
18,0.42941871794871794
19,0.42367341025641025
20,0.41961438461538464
21,0.42209489743589745
22,0.40740023076923076
23,0.37678341025641027
24,0.35316176923076925
25,0.3315067692307692
26,0.31558710256410255
27,0.3025563076923077
28,0.29313353846153845
29,0.28833479487179486
30,0.28526076923076926
31,0.28437107692307695
32,0.28767241025641027
33,0.290411
34,0.2968064358974359
35,0.3122443076923077
36,0.3294136153846154
37,0.3493605384615385
38,0.37465533333333334
39,0.4047921025641026
40,0.4214333076923077
41,0.41891530769230767
42,0.424806
43,0.42972189743589745
44,0.43350276923076925
45,0.4355206923076923
46,0.4312816923076923
47,0.42626392307692307
48,0.4210888717948718
49,0.41499679487179486
50,0.4065195128205128
51,0.39949910256410254
52,0.39316033333333333
53,0.3865054358974359
54,0.37976133333333334
55,0.3714522564102564
56,0.36486735897435896
57,0.35880674358974357
58,0.3524267692307692
59,0.34788207692307693
60,0.3459081025641026
