bin,repeat_density
1,0.5555088974358975
2,0.554367282051282
3,0.5552503589743589
4,0.5550161025641026
5,0.5565586923076923
6,0.5533962307692307
7,0.5539485641025641
8,0.5532301794871795
9,0.5514887692307692
10,0.5528834615384616
11,0.5507483846153847
12,0.5504379743589743
13,0.551317564102564
14,0.5514827948717949
15,0.548438641025641
16,0.5449149230769231
17,0.543606435897436
18,0.5487892820512821
19,0.5528254871794872
20,0.5571984615384615
21,0.5507398717948718
22,0.5510509487179487
23,0.5527873589743589
24,0.5530303589743589
25,0.5529210512820513
26,0.5533583589743589
27,0.5525466153846154
28,0.551285435897436
29,0.5515085641025641
30,0.5511966923076923
31,0.5519371282051282
32,0.5513631025641026
33,0.5524075897435897
34,0.553178564102564
35,0.5539683076923076
36,0.5539442307692307
37,0.5529593076923077
38,0.5515307435897436
39,0.5500434615384615
40,0.5519839487179488
41,0.5563025128205128
42,0.5527709230769231
43,0.5480429743589743
44,0.5416184358974359
45,0.5447027179487179
46,0.5503357692307692
47,0.553875282051282
48,0.55138
49,0.5516708717948717
50,0.5521573846153847
51,0.5543830512820512
52,0.5526071794871795
53,0.5526578974358974
54,0.5521592051282052
55,0.5538371282051282
56,0.5547602564102564
57,0.5541119487179487
58,0.5539150512820513
59,0.552698
60,0.5532839487179487
