TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
SINE	6.37e-4	NA	NA	2.38e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002993	NA	NA	NA	NA	NA	NA	0.001441	NA	NA	NA	NA	0.001256	3.82e-4	NA	NA	NA	NA	NA	NA	NA	NA
SINE.5S	9.2e-4	0.001249	5.46e-4	2.57e-4	8.07e-4	0.001493	2.52e-4	5.4e-4	6.42e-4	0.001157	0.001244	0.00112	5.86e-4	7.22e-4	0.001612	3.83e-4	2.57e-4	3.76e-4	7.18e-4	3.2e-4	4.28e-4	2.01e-4	0.001115	0.002838	0.00284	6.37e-4	5.43e-4	3.25e-4	8.93e-4	0.001235	3.94e-4	0.001684	0.001891	0.001126	0.001246	0.00183	9.29e-4	0.001128	0.001009
SINE.ID	6.37e-4	0.00154	NA	2.38e-4	0.001109	0.001337	2.95e-4	7.16e-4	0.001064	0.001157	8.55e-4	5.7e-4	5.55e-4	5.64e-4	0.002308	2.52e-4	2.5e-4	2.99e-4	6.96e-4	2.89e-4	NA	1.87e-4	NA	0.006227	0.002882	5.18e-4	3.2e-4	3.97e-4	NA	NA	NA	NA	NA	NA	NA	0.001511	NA	NA	NA
SINE.tRNA	9.32e-4	0.001291	4.42e-4	2.68e-4	8.42e-4	0.001464	2.46e-4	3.54e-4	6.84e-4	0.00143	0.001266	7.65e-4	6.08e-4	6.64e-4	0.002189	3.36e-4	2.74e-4	4.3e-4	7.12e-4	3.54e-4	4.42e-4	2.22e-4	9.75e-4	0.002449	0.002691	7.09e-4	5.07e-4	3.46e-4	7.83e-4	0.00124	4.43e-4	0.001621	0.001737	0.001226	0.001191	0.001713	9.14e-4	0.001378	0.001229
Satellite	9.32e-4	0.001546	9.03e-4	2.6e-4	8.98e-4	0.001517	3.57e-4	3.64e-4	6.62e-4	0.001442	0.001435	7.46e-4	6.11e-4	6.22e-4	0.0018600000000000001	3.89e-4	3.26e-4	3.73e-4	7.07e-4	3.49e-4	9.06e-4	2.23e-4	0.001059	0.002398	0.003154	7.58e-4	4.77e-4	3.86e-4	7.76e-4	NA	NA	0.001529	0.001613	0.001154	0.001478	0.001667	0.001016	0.001053	0.001358
Simple_repeat	9.04e-4	0.001619	5.3e-4	2.93e-4	8.6e-4	0.001614	2.48e-4	3.47e-4	7.05e-4	0.001521	0.001266	8.03e-4	6.57e-4	6.73e-4	0.002358	3.58e-4	2.81e-4	4.94e-4	9.59e-4	3.72e-4	4.39e-4	2.29e-4	8.89e-4	0.002487	0.002617	8.09e-4	5.5e-4	3.51e-4	8.55e-4	0.001266	3.94e-4	0.001615	0.001715	0.001326	0.001307	0.001864	8.92e-4	0.001322	0.001426
rRNA	8.26e-4	0.001718	5.08e-4	2.71e-4	9.82e-4	0.001482	2.55e-4	3.52e-4	7.37e-4	0.001534	0.001356	7.92e-4	6.25e-4	6.57e-4	0.003004	3.82e-4	2.45e-4	4.26e-4	7.6e-4	3.13e-4	4e-4	2.2e-4	8.57e-4	0.002223	0.002514	7.22e-4	4.44e-4	3.96e-4	7.15e-4	0.003367	NA	0.001352	0.001496	0.001102	0.001069	0.001548	0.001076	0.00108	0.001187
LINE.L1-Tx1	NA	0.001027	NA	2.38e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52e-4	NA	8.98e-4	6.29e-4	NA	3.09e-4	1.77e-4	NA	0.011208	0.001441	NA	5.59e-4	2.98e-4	NA	0.001459	3.14e-4	NA	NA	NA	NA	NA	0.002053	NA	NA
PLE.Chlamys	NA	0.00308	NA	NA	NA	NA	NA	NA	5.32e-4	0.001672	NA	NA	NA	4.33e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tRNA	NA	0.001027	NA	2.38e-4	NA	NA	1.77e-4	2.95e-4	NA	NA	0.001426	NA	NA	NA	0.001538	NA	2.27e-4	2.99e-4	0.001258	NA	3.09e-4	1.77e-4	NA	0.001868	0.004323	NA	3.2e-4	NA	NA	NA	NA	0.001014	NA	0.005097	NA	NA	0.002053	NA	0.001009
