TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
SINE.tRNA	9.24e-4	0.001353	4.45e-4	2.67e-4	8.44e-4	0.001479	2.46e-4	3.44e-4	6.96e-4	0.001436	0.001226	7.83e-4	6.01e-4	6.59e-4	0.002134	3.34e-4	2.79e-4	4.32e-4	7.22e-4	3.61e-4	4.55e-4	2.13e-4	0.001018	0.002378	0.002723	7.06e-4	5.22e-4	3.46e-4	7.67e-4	0.001241	4.43e-4	0.00168	0.001773	0.001238	0.001198	0.001728	9.38e-4	0.001393	0.001223
Satellite	7.3e-4	0.00155	9.28e-4	2.65e-4	8.96e-4	0.001518	2.65e-4	3.5e-4	6.86e-4	0.001453	0.001426	6.54e-4	6.04e-4	5.97e-4	0.001782	3.88e-4	3.31e-4	3.9e-4	6.88e-4	3.67e-4	4.37e-4	2.36e-4	0.001052	0.002365	0.003575	6.84e-4	4.87e-4	3.85e-4	8.06e-4	NA	NA	0.001545	0.001635	0.001188	0.001533	0.001596	0.001054	0.001128	0.001423
Simple_repeat	8.91e-4	0.001543	5.41e-4	3.07e-4	8.58e-4	0.001645	2.57e-4	3.43e-4	7.09e-4	0.001553	0.001271	8.03e-4	6.55e-4	6.65e-4	0.002207	3.57e-4	2.81e-4	4.65e-4	0.001028	3.89e-4	4.55e-4	2.33e-4	8.94e-4	0.002509	0.002638	7.92e-4	5.6e-4	3.53e-4	8.56e-4	0.001263	3.94e-4	0.001626	0.001675	0.001332	0.001294	0.001965	9.13e-4	0.001287	0.001483
DNA.hAT-Blackjack	NA	0.001027	0.002213	4.52e-4	6.72e-4	0.001337	2.78e-4	3.93e-4	0.00064899999999999995	0.001469	0.001253	6.65e-4	5.55e-4	6.07e-4	NA	2.52e-4	2.27e-4	3.21e-4	0.001677	4.7e-4	NA	2.04e-4	7.14e-4	0.002717	0.001441	6.47e-4	0.001279	2.98e-4	7.01e-4	0.003367	NA	0.003381	0.003202	0.001019	9.85e-4	NA	NA	0.005076	0.004036
DNA.Maverick	NA	NA	6.32e-4	2.38e-4	0.005568	NA	NA	NA	7.98e-4	NA	NA	NA	NA	4.33e-4	NA	2.52e-4	0.001005	NA	6.29e-4	NA	NA	1.77e-4	0.001429	NA	0.001441	0.001036	4.8e-4	NA	NA	NA	NA	NA	0.001334	NA	9.85e-4	NA	5.13e-4	NA	NA
DNA.TcMar-Tigger	NA	NA	6.32e-4	2.38e-4	6.72e-4	NA	2.21e-4	2.95e-4	5.32e-4	NA	8.55e-4	NA	5.55e-4	4.33e-4	NA	2.52e-4	2.27e-4	2.99e-4	6.29e-4	2.89e-4	3.09e-4	2.21e-4	NA	0.002491	0.001441	9.16e-4	3.2e-4	4.96e-4	6.53e-4	NA	NA	0.001014	0.001067	0.001019	NA	NA	NA	NA	NA
DNA.Crypton-I	NA	NA	NA	3.57e-4	6.72e-4	NA	NA	NA	5.32e-4	0.001157	8.55e-4	NA	NA	4.33e-4	NA	NA	3.41e-4	NA	6.29e-4	2.89e-4	NA	NA	NA	0.001245	NA	NA	NA	NA	NA	NA	NA	NA	0.002134	NA	NA	NA	5.13e-4	NA	NA
DNA.PIF-Spy	NA	NA	NA	2.38e-4	6.72e-4	NA	1.77e-4	2.95e-4	0.001064	0.001157	0.001711	NA	NA	5.78e-4	NA	3.79e-4	2.59e-4	2.99e-4	6.29e-4	NA	NA	4.6e-4	7.14e-4	0.009548	0.001441	NA	6.39e-4	3.97e-4	6.53e-4	NA	NA	NA	NA	NA	NA	NA	5.13e-4	NA	NA
DNA.Kolobok-E	NA	NA	NA	NA	6.72e-4	0.001337	1.77e-4	NA	NA	0.001929	8.55e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.98e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.hAT	NA	NA	NA	NA	0.001344	NA	7.08e-4	0.001003	NA	0.001157	0.002566	NA	NA	NA	NA	NA	2.27e-4	NA	NA	NA	NA	4.8e-4	NA	NA	0.002882	0.001036	NA	2.98e-4	NA	0.001903	7.67e-4	0.002028	NA	NA	NA	NA	NA	NA	NA
tRNA	NA	NA	NA	NA	NA	NA	1.77e-4	2.95e-4	NA	NA	8.55e-4	NA	NA	NA	0.001538	NA	2.27e-4	2.99e-4	0.001258	NA	3.09e-4	1.77e-4	NA	0.001868	0.005043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002053	NA	0.001009
DNA.Zator	NA	NA	NA	NA	NA	NA	NA	NA	5.32e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001122	NA	NA	NA	NA	NA	NA	NA	NA	NA
