repeat_type	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Egorge_hap1	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Estirius_hap1	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA.Merlin	128.29	122.80	124.50	124.38	121.18	128.86	115.29	123.72	181.35	183.97	125.93	140.30	130.59	142.67	142.67	136.04	97.76	135.71	107.75	109.71	161.22	116.66	104.33	166.85	154.24	108.36	116.76	110.16	110.16	109.32	132.88	32.00	78.58	157.84	162.75	291.98	125.23	112.74	107.76	118.87	128.17
DNA.MULE-MuDR	226.38	82.37	283.26	80.59	139.15	165.63	63.84	113.73	79.79	72.04	126.49	82.09	196.57	179.15	179.15	105.22	65.54	124.37	296.17	309.54	129.28	138.99	177.43	272.79	253.11	328.62	692.16	186.84	186.84	265.72	177.56	67.50	NA	61.86	68.76	70.17	494.22	281.64	209.27	174.80	175.89
DNA.MULE-NOF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.P	138.50	138.74	138.05	219.39	153.35	139.38	176.12	151.54	140.14	141.57	146.18	126.20	143.03	152.85	152.85	123.20	208.55	144.56	168.89	150.81	139.12	140.29	156.66	143.31	147.87	173.38	142.07	158.57	158.57	180.15	137.24	107.71	154.28	137.56	153.46	171.03	151.88	175.65	174.72	136.32	140.58
DNA.PIF-Harbinger	157.19	163.58	145.14	138.95	134.44	140.67	144.13	145.29	146.09	146.17	148.28	142.83	142.85	145.58	145.58	156.98	146.87	175.02	157.36	141.74	137.62	142.29	139.62	144.18	155.63	140.86	149.52	144.92	144.92	165.43	175.09	186.86	236.05	155.34	171.81	187.01	143.67	144.68	142.51	149.67	142.79
DNA.PIF-ISL2EU	406.67	378.00	287.80	422.00	286.75	239.67	299.50	216.00	276.10	244.75	356.50	175.60	305.60	318.00	318.00	271.00	355.00	358.42	226.50	306.83	359.50	305.11	257.67	422.33	321.00	317.00	396.00	355.00	355.00	249.75	252.33	382.60	47.00	298.00	422.00	376.17	159.25	274.80	337.00	230.50	421.00
DNA.PIF-Spy	178.84	211.47	163.07	152.41	138.35	128.37	163.38	165.04	189.68	206.77	174.56	149.87	154.32	152.99	152.99	115.26	183.54	164.09	172.15	173.10	145.26	193.10	170.11	170.52	179.16	172.63	207.44	214.85	214.85	163.76	216.42	NA	NA	150.72	123.06	147.85	217.36	143.41	338.63	203.44	183.47
DNA.PiggyBac	203.28	235.55	234.39	248.91	180.38	183.20	203.08	204.19	153.21	161.55	191.73	171.31	195.79	194.29	194.29	179.11	172.39	199.73	199.22	178.23	179.89	182.55	191.62	175.62	207.71	190.39	243.73	180.15	180.15	201.75	218.83	189.26	103.30	153.65	167.63	281.02	233.84	194.69	187.09	233.20	237.74
DNA.Sola-1	165.15	286.50	267.92	209.46	162.74	178.25	175.45	266.68	185.78	171.51	227.28	221.63	279.13	240.20	240.20	151.40	121.04	232.25	206.40	182.56	182.10	178.76	218.92	187.95	228.03	191.70	234.74	173.31	173.31	207.73	262.71	461.42	344.52	156.15	178.77	320.57	280.75	247.81	199.88	249.31	246.03
DNA.Sola-2	451.03	281.42	279.71	276.55	355.04	271.18	415.17	326.46	194.13	200.11	276.82	412.89	373.45	345.89	345.89	348.87	310.23	527.75	198.78	198.32	287.49	226.00	381.49	357.71	270.94	218.26	252.00	356.55	356.55	217.23	429.46	74.17	58.69	566.70	596.87	609.94	364.18	295.67	427.79	280.71	282.57
