repeat_type	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Egorge_hap1	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Estirius_hap1	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
SINE	122.22	73.90	68.37	69.69	84.09	81.45	111.88	162.20	70.54	67.49	107.86	83.46	79.93	185.93	185.93	90.32	98.48	104.68	155.83	86.54	75.07	201.94	91.70	78.37	130.86	92.63	75.83	120.35	120.35	174.89	167.60	141.12	98.59	128.01	178.64	76.91	66.04	100.35	135.11	70.37	64.83
SINE.5S	206.64	200.76	193.10	182.96	193.00	193.59	183.91	195.00	146.19	145.99	192.82	177.31	201.20	198.54	198.54	201.51	178.27	199.94	181.77	185.13	192.72	222.93	183.68	196.15	193.25	187.81	191.51	186.16	186.16	181.49	191.67	112.79	85.67	193.36	200.48	189.29	205.26	199.02	183.70	200.03	195.32
SINE.ID	137.63	108.58	108.08	105.81	218.98	113.17	100.98	100.96	99.94	106.90	103.55	100.84	103.26	166.81	166.81	102.18	104.29	109.23	107.68	173.54	102.56	104.68	192.65	104.47	105.87	185.17	103.18	179.56	179.56	102.92	108.67	NA	NA	99.20	96.80	108.90	102.39	145.19	183.10	97.92	107.03
SINE.tRNA	170.38	191.32	185.29	195.43	160.67	163.50	173.72	175.38	140.26	138.78	178.33	174.21	171.14	175.96	175.96	203.17	165.73	174.41	164.97	170.19	190.93	163.64	193.15	180.40	171.82	180.86	190.93	176.14	176.14	166.73	163.11	103.66	162.15	191.89	189.70	183.05	183.59	158.17	177.14	188.13	182.68
SINE.tRNA-Deu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.00	NA	NA	NA	NA	NA	NA	NA	NA	NA
SINE.tRNA-Deu-L2	NA	NA	NA	NA	NA	NA	NA	72.00	NA	21.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.00	NA	92.00	NA	43.00	NA	NA	NA	NA	NA	NA	NA	61.45	NA	NA	NA	65.00	NA	92.00	65.00	NA
SINE.U	234.95	238.67	216.12	281.42	264.12	215.21	232.55	223.52	199.91	227.24	212.76	156.77	218.12	219.55	219.55	215.36	251.68	205.55	197.46	224.58	203.56	200.21	227.89	213.74	240.32	191.83	271.94	209.00	209.00	186.90	180.70	NA	NA	177.10	174.29	219.24	246.86	200.36	223.14	210.69	254.13
snRNA	119.51	131.55	125.35	138.09	161.92	149.00	147.31	140.10	149.00	161.05	147.39	145.07	143.76	128.28	128.28	160.90	143.07	141.56	150.96	139.95	139.35	129.19	150.75	135.00	145.90	153.72	134.74	131.96	131.96	149.64	144.96	NA	NA	165.03	136.86	140.84	121.70	156.25	143.19	129.04	126.40
tRNA	164.53	162.32	137.27	167.94	161.79	178.51	208.79	141.53	103.33	116.48	175.65	196.14	207.71	144.41	144.41	156.97	170.50	171.40	152.10	158.59	165.13	170.12	167.49	160.37	151.88	203.81	142.13	160.66	160.66	146.03	170.41	NA	NA	168.88	174.60	166.01	146.96	173.24	166.42	140.13	139.91
Unknown	154.17	176.01	188.38	155.86	154.80	162.95	182.25	178.01	159.82	159.65	173.28	163.28	177.73	185.77	185.77	185.26	174.24	171.48	163.50	179.89	156.98	161.79	188.65	157.90	185.61	177.45	195.48	181.35	181.35	163.88	165.22	118.50	91.12	187.64	202.69	181.82	190.81	153.55	189.83	189.82	186.14
