species	DNA	DNA.Academ-1	DNA.CMC-Chapaev	DNA.CMC-Chapaev-3	DNA.CMC-EnSpm	DNA.CMC-Transib	DNA.Crypton-I	DNA.Ginger-2	DNA.IS3EU	DNA.Kolobok-E	DNA.MULE-MuDR	DNA.MULE-NOF	DNA.Maverick	DNA.Merlin	DNA.P	DNA.PIF-Harbinger	DNA.PIF-ISL2EU	DNA.PIF-Spy	DNA.PiggyBac	DNA.Sola-1	DNA.Sola-2	DNA.TcMar	DNA.TcMar-Fot1	DNA.TcMar-Mariner	DNA.TcMar-Pogo	DNA.TcMar-Tc1	DNA.TcMar-Tc2	DNA.TcMar-Tc4	DNA.TcMar-Tigger	DNA.TcMar-m44	DNA.Zator	DNA.Zisupton	DNA.hAT	DNA.hAT-Ac	DNA.hAT-Blackjack	DNA.hAT-Charlie	DNA.hAT-Tag1	DNA.hAT-Tip100	DNA.hAT-hAT19	DNA.hAT-hAT5	DNA.hAT-hATm	DNA.hAT-hATx	DNA.hAT-hobo	LINE	LINE.CR1	LINE.CR1-Zenon	LINE.CRE	LINE.Dong-R4	LINE.I	LINE.I-Jockey	LINE.L1	LINE.L1-Tx1	LINE.L2	LINE.Penelope	LINE.Proto2	LINE.R1	LINE.R1-LOA	LINE.R2	LINE.R2-Hero	LINE.RTE	LINE.RTE-BovB	LINE.RTE-RTE	LINE.RTE-X	LTR	LTR.Copia	LTR.DIRS	LTR.Gypsy	LTR.Pao	Low_complexity	PLE.Chlamys	PLE.Hydra	PLE.Naiad	RC.Helitron	SINE	SINE.5S	SINE.ID	SINE.U	SINE.tRNA	SINE.tRNA-Deu	SINE.tRNA-Deu-L2	Satellite	Simple_repeat	rRNA	snRNA	tRNA
Epharte	0.219665045	0.086773995	0	0.003513132	0.304738651	0.076284371	0.008246433	0.00234452	0	0.015501783	0.008248217	0	0.196030966	0.042441796	0.517116245	0.808300259	0.000208171	0.03880334	0.167669423	0.078548314	0.007088359	0.001680934	0.288653534	2.612299773	0.003828145	0.258714818	7.46E-06	0	0.024107004	0.378955415	0.001063716	0.000233301	0.014904183	0.115603761	0.089404345	0.338728275	0.000132944	0.351369812	0	0	0.000199254	0.006082523	0	1.31414559	0.609014916	1.952375973	0.171173314	0.428853599	0.859869326	1.072565662	0.042404507	0.032464818	11.14802367	0.235064851	0.305608139	0.8237988	0.566010538	9.57E-06	5.03E-05	0.559244326	0.828195687	1.886679475	9.89E-06	0.119670234	0.864375811	0.111248055	4.516374514	4.102827983	0.067853275	0.008535344	0	3.53E-05	15.00301751	0.006653372	0.273402237	0.018047828	0.000740272	2.266031615	0	6.97E-06	1.198933528	0.818549935	0.226970817	0.000945687	0.014370298
Epronoe	0.201567693	0.095060645	0	0.009646513	0.343006677	0.038600334	0.009084384	0.00297793	0	0.012028561	0.018516135	0	0.257787834	0.030589948	0.632483865	0.711803969	0.000117582	0.035134088	0.13306862	0.061628524	0.001476076	2.65E-05	0.160815096	2.858919325	0.004076039	0.13067526	0	0	0.031125556	1.177437871	0.00071977	0.001132233	0.020363687	0.165082344	0.035627226	0.132043027	5.23E-05	0.44465523	1.15E-05	1.34E-05	0.000667285	0.000710497	0.00011684	1.042720512	0.478899481	1.44837092	0.158295438	0.294741098	0.761413576	0.630696773	0.034355527	0.037572144	9.66552207	0.087261869	0.205449369	0.558729043	0.423686016	1.98E-05	3.02E-05	0.436673776	0.906679896	1.643288205	2.93E-05	0.232716617	0.735288576	0.124662648	3.944331973	1.00278023	0.085443249	0.005247775	0	4.90E-05	13.64511832	0.008749258	0.29768546	0.082762055	0.000818249	2.718829748	0	0	0.744815282	0.829228487	0.174698257	0.000712723	0.025428413
Erondoui	0.163095278	0.055712999	5.01E-06	0.001844485	0.39470282	0.058441015	0.03265443	0.002704989	0	0.012547639	0.041693476	0	1.625784582	0.072559987	0.428414484	0.679157517	0.000132154	0.020276656	0.203172201	0.043299349	0.002923077	9.79E-05	0.695435508	3.891546304	0.003210579	0.228727515	0	0	0.01988253	0.235611547	0.000714	0.000416653	0.011445353	0.157631904	0.06185433	0.088399132	5.97E-05	0.336734357	8.51E-06	8.51E-06	0.000327549	0.003067746	7.34E-06	0.89528817	0.677564325	2.084913733	0.164659102	0.353553646	0.682879526	0.777052228	0.074091941	0.013695645	10.4625675	0.085938261	0.233733356	1.059748874	0.432301185	2.27E-05	0	0.316917571	1.206272985	1.623338228	0	0.082577841	0.829748373	0.283782913	4.954874187	1.998721842	0.074265643	0.005198565	0	2.82E-05	14.51213265	0.002328049	0.25050025	0.018921909	0.000726014	2.811798432	0	0	1.134457701	0.77446838	0.207626731	0.000517103	0.013885867
Estirius	0.261191972	0.114094241	1.18E-05	0.00565988	0.352834012	0.044316269	0.010234826	0.005308125	0	0.013979833	0.004053326	0	0.108487105	0.032278844	0.589946868	0.770008338	0.000137677	0.050436882	0.162558464	0.051540237	0.007179562	8.42E-05	0.193239868	2.831922436	0.004742486	0.163028699	0	0	0.025236184	1.06933663	0.000921466	0.001268567	0.018513089	0.160911189	0.044719023	0.16387008	3.70E-05	0.523874733	0	0	0.000436688	0.001786116	4.19E-05	1.102896258	0.571784371	1.692009502	0.167496219	0.32099108	0.901808222	0.680773512	0.029420787	0.045927477	10.98039674	0.10325732	0.275513283	0.78759046	0.489077565	0	4.03E-05	0.589371146	1.074800853	1.681967811	0	0.210219314	0.789359705	0.137019585	3.686681792	0.959170254	0.086586387	0.001624782	1.42E-05	6.40E-06	14.32333004	0.015574947	0.319879775	0.074961606	0.000972659	2.774231724	0	0	1.029793872	0.85901338	0.205817917	0.000588521	0.019511344
Esudetica	0.202358304	0.042378267	3.03E-05	0.001275571	0.313419222	0.031419222	0.011282568	0.001166495	0	0.016670303	0.008085203	0	0.224095699	0.023037868	0.73994752	0.956535913	0.000205598	0.042111957	0.162363244	0.067402552	0.003041778	3.11E-05	0.364155588	1.932628113	0.003114221	0.366925499	0	0	0.024911504	0.488305618	0.000852027	6.48E-05	0.014378061	0.097340194	0.072294299	0.577584482	5.45E-05	0.275961515	8.85E-06	0	0.000430747	0.002699115	1.63E-05	1.182935995	0.683632435	2.698103108	0.179987652	0.292800165	1.085885985	0.817309735	0.020437127	0.04481169	12.00667051	0.245038074	0.397745833	0.758496193	0.361943816	0	4.30E-05	0.579007203	0.782976744	1.652366125	0.000142622	0.100076971	0.732226178	0.16428936	4.238429306	1.883789051	0.080370447	0.005585306	0	2.20E-05	14.30446697	0.009753859	0.258552377	0.023270838	0.001115456	2.483622556	0	0	0.510655896	0.678191809	0.310444742	0.000677506	0.018749949
Etriaria	0.200609438	0.119887205	1.34E-05	0.00200211	0.360021293	0.035515826	0.010895262	0.005271245	0	0.014282179	0.003505659	0	0.519639555	0.054932668	0.437494149	0.957477077	0.000290428	0.061524842	0.167257817	0.074286208	0.010596586	0.000824861	0.352786304	4.061334356	0.006634376	0.241948015	0	0	0.02788663	0.608863994	0.00082793	0.000125647	0.018770765	0.126406484	0.054422597	0.128405141	0.000121811	0.222844044	0	1.38E-05	0.007087474	0.001407827	2.23E-05	0.934198926	0.629407635	1.808694226	0.14262325	0.289847113	0.773987148	0.775665644	0.049695377	0.011024362	11.50409246	0.269468061	0.286872051	0.721998082	0.400736428	0	4.37E-05	0.498621331	0.766925379	1.579419336	2.40E-05	0.239817763	0.786738155	0.182789373	4.783981009	1.570285057	0.078526952	0.00234836	0	3.89E-05	14.1221738	0.006848072	0.308478611	0.022845003	0.000935929	2.486792058	0	0	1.14235469	0.673378093	0.213050835	0.000723	0.019993478
Mcinxia	0.440904686	0.021678614	0	0.00600801	0.003149379	0.018269523	0	0	8.81E-06	0	2.70E-05	0	0	6.41E-06	0.041219263	0.065909091	0.000766119	0	0.032943132	0.016423108	8.91E-05	0.006212655	0.022655186	1.095119143	0.000920705	0.116709451	0	0	0.001147177	0.009671606	0.0217503	0.002751902	0.029054065	0.017889668	0.011741089	0.012456548	0.000281338	0.044001402	2.12E-05	0	0.00238306	0.001401482	5.65E-05	8.01E-05	0.225737685	0.369574089	0	0.203136163	0.240069684	0.084806167	3.16E-05	0.006212455	1.233825591	0.14505847	0	0.488639367	0.163332199	0.002011814	0.037087305	1.277084101	0.430968562	0.450795755	5.35E-05	0.215623148	0.114136564	0	0.634349419	0.207389067	0.382528835	0	2.22E-05	8.71E-05	5.964293753	0.843105927	0.780292751	0	0	0.584835002	1.14E-05	0	0.000203244	2.140723068	0.026026432	0	0
Mjurtina	0.12441592	0.033616169	1.97E-05	0.003554229	0.000447015	0.003090299	0	0	0	0	0	0	0	0.000879602	0.001918906	0.046732338	1.17E-05	0	0.305151741	0.009425622	0.000189801	0.000273632	0.008983831	0.193823134	0.000259702	0.043330348	0	0	0.002874876	0.022649751	0.00050199	0.003391045	0.007390299	0.011868408	0.002503234	0.01256194	0.000106219	0.019411443	0	0	0.001512935	0.000163433	0	0	0.061706716	0.160412935	0	0.088519154	0.049035075	0.092456965	0.00010199	0.021924378	1.038089055	0.054477363	0	0.102147264	0.026978607	0	0	1.077443532	0.083802488	0.045019154	2.26E-05	0.046531841	0.096918906	0	0.381573881	0.126166915	0.173753234	0	0	5.95E-05	3.976068408	0.08625199	0.095938557	0	0	1.477254478	0	0.000168159	0.000141294	1.587053483	0.017118906	0	0
X2575	0.162571197	0.197932125	1.37E-05	0.003032733	0.378640616	0.046959738	0.006170685	0.005570802	0	0.011708171	0.000908201	0	0.400570896	0.002376758	0.443188398	0.901518813	5.61E-05	0.017450261	0.104425998	0.062607902	0.018900559	0.000312082	0.158138611	1.72675871	0.002931466	0.198808892	0	2.94E-05	0.049528865	0.468854067	0.001994843	0.000267472	0.011180567	0.103521938	0.071882847	0.454669001	0.000156229	0.197987652	8.85E-06	0	8.07E-05	0.001112993	0	1.24255821	0.568369944	1.852762625	0.25784234	0.592810435	0.974834077	0.530990833	0.023241102	0.013460387	9.183546408	0.138807763	0.291398912	0.69844787	0.441737911	0	0	0.367752555	0.773077531	1.642127167	8.85E-06	0.580356504	0.618946299	0.141511096	3.489520959	1.193553937	0.071914657	0.001810567	0	6.96E-06	17.80623355	0.005734561	0.28794963	0.019583075	0.00096674	2.989695259	0	0	0.744994636	1.015965517	0.265221639	0.000962976	0.018132023
X2576	0.174917046	0.11216765	0	0.00292916	0.369005791	0.034881342	0.005999361	0.009375799	1.08E-05	0.010468062	0.001062598	0	0.343087431	0.00326684	0.50641804	0.976591587	0.000149922	0.011956445	0.111791424	0.074652728	0.006519469	0.000211205	0.160422588	1.914036344	0.00292614	0.152359848	0	0	0.082417046	0.511608462	0.002542099	0.000414772	0.00945076	0.096846312	0.069507958	0.606094749	9.89E-05	0.193456551	0	1.28E-05	2.95E-05	0.00131075	1.83E-05	1.080822261	0.514988809	1.997493605	0.253838461	0.496549311	0.78832084	0.565833629	0.043031832	0.013990337	10.1628494	0.143467742	0.280457759	0.596656956	0.445504299	0	8.88E-06	0.361037374	0.682117202	1.791157276	0.000112974	0.216776148	0.582392888	0.13432624	3.776202927	1.386773305	0.067091445	0.000517444	0	2.65E-05	17.86569223	0.008567927	0.281513251	0.020201791	0.000743037	2.87163866	0	0	0.819282009	0.890218843	0.357434809	0.000875195	0.019371536
X3252	0.245080085	0.052865214	0	0.004127236	0.472539542	0.073760896	0.006987283	0.005538092	0	0.017695295	0.001520359	0	0.40017517	0.035044251	0.528408807	0.922844381	0.000376173	0.02142519	0.243829731	0.089889832	0.009936499	5.83E-05	0.243748729	2.666276938	0.006258604	0.127709462	0	0	0.029618994	0.336450108	0.00116702	0.00018767	0.017525625	0.147489458	0.052076368	0.090284671	1.72E-05	0.230874848	7.83E-06	0	0.00021367	0.011426857	0	1.7399915	0.72320722	2.09562176	0.157911132	0.451332189	1.709664161	0.76941299	0.039732662	0.014980083	14.47391723	0.15477558	0.360819847	0.934984916	0.432645711	0	0	0.894757746	0.966130602	1.720040834	0	0.213741396	0.889946166	0.175070251	5.802489708	1.920709512	0.069285321	0.002358039	0	1.47E-05	13.33457891	0.002378873	0.26457491	0.022267038	0.000767346	2.754510575	0	0	0.627819964	0.711065351	0.197959633	0.000751179	0.019318155
