species	chrom	A_perc	B_perc
Estirius	scaffold_19	34.4768	60.2194
Estirius	scaffold_1	19.3112	74.0135
Estirius	scaffold_10	45.3275	49.1851
Estirius	scaffold_2	41.0264	51.8286
Estirius	scaffold_20	45.7819	48.3254
Estirius	scaffold_11	34.7042	61.2198
Estirius	scaffold_3	43.6448	49.8476
Estirius	scaffold_12	44.1554	48.4921
Estirius	scaffold_4	69.3636	24.4196
Estirius	scaffold_21	47.1321	48.1838
Estirius	scaffold_13	39.7091	55.0739
Estirius	scaffold_5	40.2206	53.2793
Estirius	scaffold_14	40.8915	53.2441
Estirius	scaffold_6	65.0581	24.834
Estirius	scaffold_15	44.302	51.3307
Estirius	scaffold_7	35.5882	58.554
Esudetica	scaffold_16	39.9815	53.8387
Esudetica	scaffold_8	39.7641	54.6274
Esudetica	scaffold_17	43.3055	50.9887
Esudetica	scaffold_9	40.4179	51.2476
Esudetica	scaffold_18	38.2125	55.8677
Esudetica	scaffold_19	44.0715	49.9153
Esudetica	scaffold_1	44.1846	50.5128
Esudetica	scaffold_10	39.1074	54.3593
Esudetica	scaffold_2	39.4406	54.6467
Esudetica	scaffold_11	41.8976	52.6202
Esudetica	scaffold_3	40.4493	53.2102
Esudetica	scaffold_12	35.0939	60.0726
Esudetica	scaffold_4	37.6055	57.042
Esudetica	scaffold_21	41.5446	50.1858
Esudetica	scaffold_13	37.9982	56.3496
Esudetica	scaffold_5	38.4403	55.9536
Esudetica	scaffold_14	40.4737	50.5921
Esudetica	scaffold_6	38.0962	54.2417
Esudetica	scaffold_15	35.4018	58.3222
Esudetica	scaffold_7	38.9784	55.0501
Etriaria	scaffold_16	42.1711	53.067
Etriaria	scaffold_8	42.4102	53.7914
Etriaria	scaffold_9	44.7741	49.9058
Etriaria	scaffold_1	39.8089	50.314
Etriaria	scaffold_10	35.0341	60.5264
Etriaria	scaffold_2	74.9899	18.4451
Etriaria	scaffold_11	37.6194	56.723
Etriaria	scaffold_3	40.3266	55.134
Etriaria	scaffold_4	36.323	58.0706
Etriaria	scaffold_12	40.0073	55.6117
Etriaria	scaffold_13	38.2998	51.5066
Etriaria	scaffold_5	41.5342	54.2533
Etriaria	scaffold_14	36.9603	58.504
Etriaria	scaffold_6	37.6554	58.0128
Etriaria	scaffold_15	42.6303	52.9408
Etriaria	scaffold_7	37.3262	57.3433
Mjurtina	scaffold_25	44.8306	45.7646
Mjurtina	scaffold_16	35.0591	56.9599
Mjurtina	scaffold_8	58.3594	32.9407
Mjurtina	scaffold_26	28.8866	54.1624
Mjurtina	scaffold_17	38.7893	52.4968
Mjurtina	scaffold_9	49.6282	41.2256
Mjurtina	scaffold_27	62.2003	29.3724
Mjurtina	scaffold_18	34.5652	57.0178
Mjurtina	scaffold_28	39.0524	43.8588
Mjurtina	scaffold_19	42.7425	48.7626
Mjurtina	scaffold_29	1.6336	2.1781
Mjurtina	scaffold_1	54.7392	38.1096
Mjurtina	scaffold_10	34.2684	57.9926
Mjurtina	scaffold_2	44.2214	48.8763
Mjurtina	scaffold_20	46.0993	45.4967
Mjurtina	scaffold_11	41.0343	51.359
Mjurtina	scaffold_3	64.2065	28.1649
Mjurtina	scaffold_21	63.9291	23.4842
Mjurtina	scaffold_12	39.231	52.4847
Mjurtina	scaffold_4	46.5476	45.8278
Mjurtina	scaffold_30	34.639	54.632
Mjurtina	scaffold_22	69.24	23.4097
Mjurtina	scaffold_13	52.8534	39.6401
Mjurtina	scaffold_5	44.3554	46.8196
Mjurtina	scaffold_23	63.6699	27.8556
Mjurtina	scaffold_14	42.4411	49.1251
Mjurtina	scaffold_6	38.7613	52.8338
Mjurtina	scaffold_24	37.3272	54.2942
Mjurtina	scaffold_15	43.2541	48.9083
Mjurtina	scaffold_7	40.4763	50.9135
Mcinxia	scaffold_25	33.5209	26.2909
Mcinxia	scaffold_16	36.3359	59.6946
Mcinxia	scaffold_8	38.4608	58.6916
Mcinxia	scaffold_26	34.3504	60.9551
Mcinxia	scaffold_17	37.2066	57.1301
Mcinxia	scaffold_9	39.7369	56.2567
Mcinxia	scaffold_27	43.8538	36.0733
Mcinxia	scaffold_18	42.8502	53.0055
Mcinxia	scaffold_28	41.3366	53.7741
Mcinxia	scaffold_19	39.7969	53.6616
Mcinxia	scaffold_29	38.0259	56.5966
Mcinxia	scaffold_1	42.408	54.1134
Mcinxia	scaffold_10	38.9211	57.9343
Mcinxia	scaffold_2	40.8992	55.5611
Mcinxia	scaffold_20	41.0854	53.0909
Mcinxia	scaffold_11	33.3982	63.1858
Mcinxia	scaffold_3	38.7854	56.9113
Mcinxia	scaffold_30	42.022	50.6071
Mcinxia	scaffold_21	40.4972	55.753
Mcinxia	scaffold_12	37.4013	57.9489
Mcinxia	scaffold_4	37.4693	58.5082
Mcinxia	scaffold_22	34.5241	60.0546
Mcinxia	scaffold_13	38.6169	57.116
Mcinxia	scaffold_5	38.9364	58.089
Mcinxia	scaffold_31	42.3506	53.8205
Mcinxia	scaffold_23	35.88	59.3876
Mcinxia	scaffold_14	42.3314	54.7268
Mcinxia	scaffold_6	36.8735	59.4665
Mcinxia	scaffold_24	39.5495	56.4537
Mcinxia	scaffold_15	40.6356	54.0242
Mcinxia	scaffold_7	39.5534	57.1568
