species	chrom	mean_slope	mean_slope_0_10Mb
Estirius	scaffold_17	-0.474779649	-0.583585587
Estirius	scaffold_18	-0.280028005	-0.40056379
Estirius	scaffold_19	-0.300157992	-0.455895839
Estirius	scaffold_2	-0.794493463	-0.753816487
Estirius	scaffold_20	-0.472447459	-0.545877806
Estirius	scaffold_3	-1.190903183	-0.808484756
Estirius	scaffold_4	-0.557807305	-0.659584075
Estirius	scaffold_5	-0.551063529	-0.659782727
Estirius	scaffold_6	-0.359406677	-0.617471827
Estirius	scaffold_7	-0.487233096	-0.712001621
Estirius	scaffold_8	-0.510696955	-0.705413347
Estirius	scaffold_9	-0.402138686	-0.590233607
Esudetica	scaffold_1	-0.919553845	-0.926493378
Esudetica	scaffold_10	-0.263115083	-0.693203182
Esudetica	scaffold_11	-0.398556132	-0.716446844
Esudetica	scaffold_12	-0.334262732	-0.654094002
Esudetica	scaffold_13	-0.414773842	-0.636531719
Esudetica	scaffold_14	-0.553180738	-0.746930029
Esudetica	scaffold_15	-0.438608407	-0.566816332
Esudetica	scaffold_16	-0.361196784	-0.620891313
Esudetica	scaffold_17	-0.390732075	-0.603081916
Esudetica	scaffold_18	-0.257595135	-0.449102402
Esudetica	scaffold_19	-0.510338661	-0.571186299
Esudetica	scaffold_2	-0.783708594	-0.816629846
Esudetica	scaffold_3	-0.833476663	-0.810623117
Esudetica	scaffold_4	-0.564462736	-0.771402088
Esudetica	scaffold_5	-0.537376507	-0.722122106
Esudetica	scaffold_6	-0.543556646	-0.769275319
Esudetica	scaffold_7	-0.451679312	-0.818091794
Esudetica	scaffold_8	-0.287721685	-0.698863487
Esudetica	scaffold_9	-0.618000465	-0.733174205
Etriaria	scaffold_1	-1.290058133	-0.910526835
Etriaria	scaffold_10	-0.676346554	-0.832592209
Etriaria	scaffold_11	-0.636487161	-0.767256068
Etriaria	scaffold_12	-0.584988488	-0.850604053
Etriaria	scaffold_13	-0.58113586	-0.672100866
Etriaria	scaffold_14	-0.448284827	-0.83165035
Etriaria	scaffold_15	-0.3080173	-0.65949905
Etriaria	scaffold_16	-0.440149745	-0.718887792
Etriaria	scaffold_3	-1.044075974	-0.922966622
Etriaria	scaffold_5	-0.866878207	-0.878467878
Etriaria	scaffold_6	-0.79990494	-0.871800652
Etriaria	scaffold_7	-0.769853279	-0.781471538
Etriaria	scaffold_8	-0.931320898	-0.88383839
Etriaria	scaffold_9	-0.877263754	-0.910663053
X2575	scaffold_1	-0.570681685	-0.605390804
X2575	scaffold_10	-0.455074683	-0.55522413
X2575	scaffold_11	-0.426424457	-0.541258636
X2575	scaffold_12	-0.340666665	-0.514336409
X2575	scaffold_13	-0.39129303	-0.498699141
X2575	scaffold_14	-0.36000929	-0.442527311
X2575	scaffold_15	-0.391529211	-0.487616712
X2575	scaffold_16	-0.381454945	-0.469560287
X2575	scaffold_17	-0.462225933	-0.558415846
X2575	scaffold_18	-0.2426515	-0.387557951
X2575	scaffold_19	-0.384895813	-0.427719087
X2575	scaffold_2	-0.524850337	-0.617283753
X2575	scaffold_20	-0.287834802	-0.358785324
X2575	scaffold_21	-0.534273311	-0.470663442
X2575	scaffold_22	-0.306268381	-0.372410039
X2575	scaffold_23	-0.264854691	-0.321330046
X2575	scaffold_24	-0.457429391	-0.484394491
X2575	scaffold_25	-0.30709698	-0.296909085
X2575	scaffold_26	-0.294090048	-0.300521208
X2575	scaffold_27	-0.256762854	-0.256762854
X2575	scaffold_28	-0.181297975	-0.181297975
X2575	scaffold_3	-0.486253633	-0.535323096
X2575	scaffold_4	-0.476087712	-0.576506531
X2575	scaffold_5	-0.437764898	-0.516473747
X2575	scaffold_7	-0.416523423	-0.54534748
X2575	scaffold_8	-0.377956215	-0.515649267
X2575	scaffold_9	-0.435012298	-0.552087523
X2576	scaffold_1	-0.637108957	-0.648883418
X2576	scaffold_10	-0.412536809	-0.53429331
X2576	scaffold_11	-0.596448907	-0.59454304
X2576	scaffold_12	-0.42285551	-0.488261998
X2576	scaffold_13	-0.385120314	-0.498545509
X2576	scaffold_14	-0.474188677	-0.545773002
X2576	scaffold_15	-0.423155089	-0.558795011
X2576	scaffold_16	-0.422410408	-0.563953549
X2576	scaffold_17	-0.319797107	-0.439584683
X2576	scaffold_18	-0.336394566	-0.405981417
X2576	scaffold_19	-0.642213792	-0.53667207
X2576	scaffold_2	-0.624746237	-0.584125383
X2576	scaffold_20	-0.429537171	-0.470474593
X2576	scaffold_21	-0.28172295	-0.396061556
X2576	scaffold_22	-0.339258395	-0.407218763
X2576	scaffold_23	-0.384554375	-0.51440099
X2576	scaffold_24	-0.60630885	-0.489453765
X2576	scaffold_25	-0.283109412	-0.261683886
X2576	scaffold_26	-0.37838562	-0.38918368
X2576	scaffold_27	-0.284416865	-0.283636678
X2576	scaffold_28	-0.346173205	-0.346173205
X2576	scaffold_3	-0.548179913	-0.56757924
X2576	scaffold_4	-0.431565398	-0.608576033
X2576	scaffold_5	-0.400341597	-0.572072011
X2576	scaffold_6	-0.491844264	-0.603823601
X2576	scaffold_8	-0.514635988	-0.581545174
X2576	scaffold_9	0.191879587	-0.441531009
X3252	scaffold_10	-0.264431565	-0.401374355
X3252	scaffold_11	-0.228078005	-0.384172466
X3252	scaffold_12	-0.251800307	-0.416658482
X3252	scaffold_13	-0.311546954	-0.403876567
X3252	scaffold_14	-0.2920461	-0.400824211
X3252	scaffold_15	-0.308755663	-0.378176971
X3252	scaffold_16	-0.228060043	-0.31598155
X3252	scaffold_17	-0.183896883	-0.306443152
X3252	scaffold_18	-0.296220447	-0.373899682
X3252	scaffold_19	-0.210360513	-0.305141252
X3252	scaffold_2	-0.495849357	-0.466414627
X3252	scaffold_20	-0.376050315	-0.390574048
X3252	scaffold_21	-0.256198874	-0.355554514
X3252	scaffold_22	-0.434018217	-0.395290206
X3252	scaffold_23	-0.381487292	-0.384221759
X3252	scaffold_24	-0.170578872	-0.204201857
X3252	scaffold_25	-0.231109583	-0.271153334
X3252	scaffold_26	-0.284027509	-0.307200034
X3252	scaffold_27	-0.124066752	-0.161534627
X3252	scaffold_28	-0.196880699	-0.196880699
X3252	scaffold_3	-0.276489524	-0.517472421
X3252	scaffold_4	-0.317516637	-0.43603094
X3252	scaffold_5	-0.384615859	-0.40848137
X3252	scaffold_6	-0.313735161	-0.492799892
X3252	scaffold_7	-0.215627353	-0.473151364
X3252	scaffold_8	-0.307605862	-0.463497384
X3252	scaffold_9	-0.275807056	-0.416489174
X3258	scaffold_10	-1.332003143	-0.857231283
X3258	scaffold_11	-0.833082284	-0.785274508
X3258	scaffold_2	-1.103018395	-0.84323706
X3258	scaffold_3	-1.142817194	-0.795882667
X3258	scaffold_4	-1.056642994	-0.813505136
X3258	scaffold_5	-1.366584614	-0.844523809
X3258	scaffold_6	-1.106791413	-0.769851303
X3258	scaffold_7	-1.095358656	-0.892089028
X3258	scaffold_8	-0.997794564	-0.823967137
X3258	scaffold_9	-0.894527941	-0.793370293
X3311	scaffold_1	-1.011802288	-0.819335447
X3311	scaffold_10	-0.852838523	-0.747505979
X3311	scaffold_11	-0.94978879	-0.832102896
X3311	scaffold_12	-0.778705473	-0.80854337
X3311	scaffold_13	-0.432428334	-0.598604843
X3311	scaffold_14	-0.480520454	-0.497909395
X3311	scaffold_2	-0.959059217	-0.827061948
X3311	scaffold_3	-1.0756027	-0.834975834
X3311	scaffold_4	-1.000129139	-0.784266229
X3311	scaffold_6	-0.995239132	-0.756683731
X3311	scaffold_7	-0.953222763	-0.785568039
X3311	scaffold_8	-0.780453173	-0.8133506
X3311	scaffold_9	-0.842723333	-0.749664827
X3506	scaffold_1	-1.595969099	-0.847178199
X3506	scaffold_10	-0.503121928	-0.658984693
X3506	scaffold_11	-0.373673238	-0.567267958
X3506	scaffold_12	-0.733229211	-0.71450723
X3506	scaffold_13	-0.427726836	-0.657789735
X3506	scaffold_14	-0.514135437	-0.584147511
X3506	scaffold_15	-0.407568144	-0.623562032
X3506	scaffold_16	-0.452554551	-0.53896449
X3506	scaffold_17	-0.659553283	-0.610142164
X3506	scaffold_18	-0.321301706	-0.527247083
X3506	scaffold_19	-0.297680459	-0.458391263
X3506	scaffold_20	-0.51581402	-0.635394276
X3506	scaffold_21	-0.669501092	-0.577204344
X3506	scaffold_22	-0.312486551	-0.501724452
X3506	scaffold_23	-0.459931325	-0.533360025
X3506	scaffold_3	-0.524609196	-0.680432222
X3506	scaffold_4	-0.59922897	-0.813831357
X3506	scaffold_5	-0.493799138	-0.677617331
X3506	scaffold_6	-0.457675566	-0.725913957
X3506	scaffold_7	-0.404688846	-0.653715961
X3506	scaffold_8	-0.31485755	-0.573019135
X3506	scaffold_9	-0.627114286	-0.721981533
X3531	scaffold_1	-1.41986603	-0.949555224
X3531	scaffold_10	-0.906684669	-0.838081946
X3531	scaffold_3	-1.46307784	-1.012370857
X3531	scaffold_4	-1.647769674	-0.843882034
X3531	scaffold_5	-1.481957148	-0.872243737
X3531	scaffold_6	-1.548742877	-0.894367956
X3531	scaffold_7	-1.748250507	-0.934272329
X3531	scaffold_8	-1.084834711	-0.822989059
X3531	scaffold_9	-1.718345	-0.923626219
X3737	scaffold_1	-1.472085243	-0.950162002
X3737	scaffold_10	-0.897725137	-0.894488379
X3737	scaffold_3	-1.343805433	-0.964986481
X3737	scaffold_4	-1.134066111	-0.93245865
X3737	scaffold_5	-1.025309545	-0.943311026
X3737	scaffold_6	-1.475193658	-0.979431563
X3737	scaffold_7	-1.120666932	-1.020266535
X3737	scaffold_8	-1.234323766	-0.878178827
X3737	scaffold_9	-1.369458371	-0.982861993
